ATTRIBUTE_ID,TABLE_NAME,COLUMN_NAME,CHUNK_ID,ENCODING,COMPRESSION,ROW_COUNT,SIZE_IN_BYTES
0_0,customer,c_custkey,0,Dictionary,FixedSize4ByteAligned,100000,800064
0_0,customer,c_custkey,1,Dictionary,FixedSize2ByteAligned,50000,300064
0_1,customer,c_name,0,Dictionary,FixedSize4ByteAligned,100000,3600064
0_1,customer,c_name,1,Dictionary,FixedSize2ByteAligned,50000,1700064
0_2,customer,c_address,0,Dictionary,FixedSize4ByteAligned,100000,3600064
0_2,customer,c_address,1,Dictionary,FixedSize2ByteAligned,50000,1700064
0_3,customer,c_nationkey,0,Dictionary,FixedSize1ByteAligned,100000,100164
0_3,customer,c_nationkey,1,Dictionary,FixedSize1ByteAligned,50000,50164
0_4,customer,c_phone,0,Dictionary,FixedSize4ByteAligned,100000,3600064
0_4,customer,c_phone,1,Dictionary,FixedSize2ByteAligned,50000,1700064
0_5,customer,c_acctbal,0,Dictionary,FixedSize4ByteAligned,100000,782068
0_5,customer,c_acctbal,1,Dictionary,FixedSize2ByteAligned,50000,295668
0_6,customer,c_mktsegment,0,Dictionary,FixedSize1ByteAligned,100000,100224
0_6,customer,c_mktsegment,1,Dictionary,FixedSize1ByteAligned,50000,50224
0_7,customer,c_comment,0,Dictionary,FixedSize4ByteAligned,100000,3599808
0_7,customer,c_comment,1,Dictionary,FixedSize2ByteAligned,50000,1699936
1_0,lineitem,l_orderkey,0,Dictionary,FixedSize2ByteAligned,100000,299648
1_0,lineitem,l_orderkey,1,Dictionary,FixedSize2ByteAligned,100000,300140
1_0,lineitem,l_orderkey,2,Dictionary,FixedSize2ByteAligned,100000,300600
1_0,lineitem,l_orderkey,3,Dictionary,FixedSize2ByteAligned,100000,299956
1_0,lineitem,l_orderkey,4,Dictionary,FixedSize2ByteAligned,100000,299672
1_0,lineitem,l_orderkey,5,Dictionary,FixedSize2ByteAligned,100000,299812
1_0,lineitem,l_orderkey,6,Dictionary,FixedSize2ByteAligned,100000,300184
1_0,lineitem,l_orderkey,7,Dictionary,FixedSize2ByteAligned,100000,299932
1_0,lineitem,l_orderkey,8,Dictionary,FixedSize2ByteAligned,100000,300296
1_0,lineitem,l_orderkey,9,Dictionary,FixedSize2ByteAligned,100000,300368
1_0,lineitem,l_orderkey,10,Dictionary,FixedSize2ByteAligned,100000,300176
1_0,lineitem,l_orderkey,11,Dictionary,FixedSize2ByteAligned,100000,300044
1_0,lineitem,l_orderkey,12,Dictionary,FixedSize2ByteAligned,100000,300180
1_0,lineitem,l_orderkey,13,Dictionary,FixedSize2ByteAligned,100000,299856
1_0,lineitem,l_orderkey,14,Dictionary,FixedSize2ByteAligned,100000,300576
1_0,lineitem,l_orderkey,15,Dictionary,FixedSize2ByteAligned,100000,300028
1_0,lineitem,l_orderkey,16,Dictionary,FixedSize2ByteAligned,100000,299548
1_0,lineitem,l_orderkey,17,Dictionary,FixedSize2ByteAligned,100000,300080
1_0,lineitem,l_orderkey,18,Dictionary,FixedSize2ByteAligned,100000,299704
1_0,lineitem,l_orderkey,19,Dictionary,FixedSize2ByteAligned,100000,300072
1_0,lineitem,l_orderkey,20,Dictionary,FixedSize2ByteAligned,100000,300160
1_0,lineitem,l_orderkey,21,Dictionary,FixedSize2ByteAligned,100000,300156
1_0,lineitem,l_orderkey,22,Dictionary,FixedSize2ByteAligned,100000,300572
1_0,lineitem,l_orderkey,23,Dictionary,FixedSize2ByteAligned,100000,300084
1_0,lineitem,l_orderkey,24,Dictionary,FixedSize2ByteAligned,100000,299692
1_0,lineitem,l_orderkey,25,Dictionary,FixedSize2ByteAligned,100000,300368
1_0,lineitem,l_orderkey,26,Dictionary,FixedSize2ByteAligned,100000,300660
1_0,lineitem,l_orderkey,27,Dictionary,FixedSize2ByteAligned,100000,299496
1_0,lineitem,l_orderkey,28,Dictionary,FixedSize2ByteAligned,100000,300184
1_0,lineitem,l_orderkey,29,Dictionary,FixedSize2ByteAligned,100000,300088
1_0,lineitem,l_orderkey,30,Dictionary,FixedSize2ByteAligned,100000,300008
1_0,lineitem,l_orderkey,31,Dictionary,FixedSize2ByteAligned,100000,299952
1_0,lineitem,l_orderkey,32,Dictionary,FixedSize2ByteAligned,100000,300136
1_0,lineitem,l_orderkey,33,Dictionary,FixedSize2ByteAligned,100000,299528
1_0,lineitem,l_orderkey,34,Dictionary,FixedSize2ByteAligned,100000,299816
1_0,lineitem,l_orderkey,35,Dictionary,FixedSize2ByteAligned,100000,299544
1_0,lineitem,l_orderkey,36,Dictionary,FixedSize2ByteAligned,100000,300104
1_0,lineitem,l_orderkey,37,Dictionary,FixedSize2ByteAligned,100000,300460
1_0,lineitem,l_orderkey,38,Dictionary,FixedSize2ByteAligned,100000,300008
1_0,lineitem,l_orderkey,39,Dictionary,FixedSize2ByteAligned,100000,300104
1_0,lineitem,l_orderkey,40,Dictionary,FixedSize2ByteAligned,100000,300204
1_0,lineitem,l_orderkey,41,Dictionary,FixedSize2ByteAligned,100000,300256
