"lineitem","l_orderkey",6111329461,1.80098
"lineitem","l_partkey",3908943554,3.59721
"lineitem","l_shipdate",3742791610,1.43194
"lineitem","l_suppkey",3023203404,3.52411
"lineitem","l_quantity",2444334752,0.602748
"lineitem","l_discount",1910117417,0.60132
"lineitem","l_shipmode",1803230923,0.601805
"lineitem","l_returnflag",1792569680,0.601384
"orders","o_orderkey",1445206310,0.90022
"lineitem","l_extendedprice",1310060088,3.57125
"lineitem","l_linestatus",1192531778,0.601375
"lineitem","l_tax",1192531774,0.601246
"orders","o_custkey",1110927822,0.898051
"orders","o_orderdate",786946411,0.355403
"partsupp","ps_partkey",664605901,0.240121
"partsupp","ps_suppkey",317083668,0.480117
"customer","c_custkey",304783969,0.090022
"lineitem","l_receiptdate",292382148,1.43285
"part","p_size",192686705,0.0200906
"lineitem","l_commitdate",153814088,1.42684
"orders","o_orderstatus",150000000,0.150336
"orders","o_comment",150000000,11.9922
"customer","c_nationkey",110590056,0.0150449
"lineitem","l_shipinstruct",85729153,0.601979
"part","p_brand",75714004,0.0201053
"nation","n_name",71783820,5.19e-07
"part","p_partkey",55961193,0.120029
"part","p_type",46175903,0.0211916
"partsupp","ps_supplycost",45500627,0.39481
"customer","c_phone",41543821,0.255033
"part","p_name",40000000,1.03931
"customer","c_acctbal",38278245,0.0882694
"supplier","s_nationkey",33839832,0.00100314
"part","p_container",24895262,0.0201665
"customer","c_mktsegment",15000000,0.0150444
"partsupp","ps_availqty",13727884,0.208883
"supplier","s_suppkey",10556376,0.00600154
"orders","o_orderpriority",8378023,0.150501
"orders","o_shippriority",2995316,0.150229
"supplier","s_comment",1000000,0.10199
"supplier","s_name",499446,0.0200023
"supplier","s_acctbal",47182,0.00588556
"orders","o_totalprice",901,0.899324
"nation","n_nationkey",224,2.21e-07
"nation","n_regionkey",150,1.41e-07
"region","r_name",15,2.04e-07
"region","r_regionkey",6,1.21e-07
"region","r_comment",0,7.24e-07
"customer","c_name",0,0.300033
"customer","c_address",0,0.630033
"customer","c_comment",0,1.76986
"nation","n_comment",0,3.019e-06
"supplier","s_address",0,0.0420023
"supplier","s_phone",0,0.0170023
"lineitem","l_linenumber",0,0.601173
"lineitem","l_comment",0,26.2936
"part","p_mfgr",0,0.0200655
"part","p_retailprice",0,0.049481
"part","p_comment",0,0.381374
"orders","o_clerk",0,1.95097
"partsupp","ps_comment",0,15.9988
