0,"JoinHash","Semi",605,464,17,2,1624.8,1624.8,1624,-1,464,17,1624.8,477606,"partsupp","ps_supplycost","REFERENCE","","","",1,"No","","618803d3332e7ba1",2,1
1,"JoinHash","Inner",605,803,13,4,406.2,1624.8,406,406,605,17,1624.8,336867,"partsupp","ps_partkey","REFERENCE","part","p_partkey","REFERENCE",0,"No","No","618803d3332e7ba1",4,1
2,"JoinHash","Inner",605,2019,3,10,2000,1624.8,2000,1624,605,13,1624.8,307671,"partsupp","ps_suppkey","REFERENCE","supplier","s_suppkey","REFERENCE",0,"No","No","618803d3332e7ba1",1,2
3,"JoinHash","Inner",2019,5,7,3,2000,5,5,5,2019,10,2000,205137,"supplier","s_nationkey","REFERENCE","nation","n_nationkey","REFERENCE",1,"No","No","618803d3332e7ba1",1,1
4,"JoinHash","Semi",3212,2019,3,7,2000,1624.8,2000,1624,605,3,1624.8,383034,"partsupp","ps_suppkey","REFERENCE","supplier","s_suppkey","REFERENCE",1,"No","No","618803d3332e7ba1",1,6
5,"JoinHash","Semi",3212,2019,3,10,2000,1624.8,2000,1624,605,3,1624.8,779130,"partsupp","ps_suppkey","REFERENCE","supplier","s_suppkey","REFERENCE",1,"No","No","618803d3332e7ba1",1,6
6,"JoinHash","Semi",800000,803,3,4,406.2,800000,406,200000,3212,3,1624.8,3133843,"partsupp","ps_partkey","REFERENCE","part","p_partkey","REFERENCE",1,"No","No","618803d3332e7ba1",4,13
7,"JoinHash","Semi",10000,5,7,3,10000,5,25,5,2019,7,2000,190749,"supplier","s_nationkey","REFERENCE","nation","n_nationkey","REFERENCE",1,"No","No","618803d3332e7ba1",1,1
8,"JoinHash","Semi",10000,5,7,3,10000,5,25,5,2019,7,2000,203041,"supplier","s_nationkey","DATA","nation","n_nationkey","REFERENCE",1,"No","No","618803d3332e7ba1",1,1
9,"JoinHash","Semi",25,1,3,2,25,1,5,1,5,3,5,68100,"nation","n_regionkey","DATA","region","r_regionkey","REFERENCE",1,"No","No","618803d3332e7ba1",1,1
10,"JoinHash","Semi",25,1,3,2,25,1,5,1,5,3,5,67052,"nation","n_regionkey","REFERENCE","region","r_regionkey","REFERENCE",1,"No","No","618803d3332e7ba1",1,1
11,"JoinHash","Inner",29947,144138,4,4,463666,215720,215719,215719,29947,8,463666,15980587,"lineitem","l_orderkey","REFERENCE","orders","o_orderkey","REFERENCE",0,"No","No","c650fa001f66863e",2,23
